PID,word_type,voice,hits,total,hit_rate,fa_rate,cms,wr_accuracy,ir_rt_mean,ir_rt_median,wr_rt_mean,wr_rt_median
247,LL,P,5,6,0.8333333333333334,0.027777777777777776,0.8055555555555556,0.6,2019.0,1772.0,2393.0,858.0
249,HH,A,6,6,1.0,0.18055555555555555,0.8194444444444444,1.0,1543.0,1658.5,916.8333333333334,903.5
249,HH,P,3,6,0.5,0.18055555555555555,0.3194444444444444,0.3333333333333333,1754.3333333333333,1805.0,725.3333333333334,593.0
249,HL,A,3,6,0.5,0.18055555555555555,0.3194444444444444,1.0,1333.6666666666667,1425.0,1583.3333333333333,764.0
249,HL,P,6,6,1.0,0.18055555555555555,0.8194444444444444,0.8333333333333334,1496.3333333333333,1478.5,745.8333333333334,647.5
249,LH,A,5,6,0.8333333333333334,0.18055555555555555,0.6527777777777778,0.8,1209.0,1319.0,696.0,647.0
249,LH,P,5,6,0.8333333333333334,0.18055555555555555,0.6527777777777778,0.8,1636.4,1709.0,1628.6,810.0
249,LL,A,4,6,0.6666666666666666,0.18055555555555555,0.48611111111111105,1.0,1505.5,1492.0,1117.0,854.5
249,LL,P,3,6,0.5,0.18055555555555555,0.3194444444444444,1.0,1359.0,1331.0,1332.0,1400.0
251,HH,A,6,6,1.0,0.3055555555555556,0.6944444444444444,0.6666666666666666,2368.6666666666665,2101.5,1249.5,1083.0
251,HH,P,6,6,1.0,0.3055555555555556,0.6944444444444444,0.8333333333333334,2149.5,1944.0,1218.6666666666667,620.5
251,HL,A,6,6,1.0,0.3055555555555556,0.6944444444444444,1.0,1885.5,1943.0,1487.1666666666667,1385.0
251,HL,P,6,6,1.0,0.3055555555555556,0.6944444444444444,0.8333333333333334,1653.5,1602.0,1146.1666666666667,475.5
251,LH,A,6,6,1.0,0.3055555555555556,0.6944444444444444,0.6666666666666666,1775.0,1722.5,811.6666666666666,787.0
251,LH,P,5,6,0.8333333333333334,0.3055555555555556,0.5277777777777778,0.8,2068.8,1993.0,684.2,706.0
251,LL,A,6,6,1.0,0.3055555555555556,0.6944444444444444,1.0,2061.0,1840.5,979.8333333333334,972.0
251,LL,P,6,6,1.0,0.3055555555555556,0.6944444444444444,0.8333333333333334,1905.8333333333333,1709.0,805.3333333333334,493.0
252,HH,A,6,6,1.0,0.06944444444444445,0.9305555555555556,1.0,1207.1666666666667,1195.0,556.5,435.0
252,HH,P,6,6,1.0,0.06944444444444445,0.9305555555555556,1.0,1051.8333333333333,1029.0,1397.5,1014.5
252,HL,A,5,6,0.8333333333333334,0.06944444444444445,0.763888888888889,1.0,1204.2,1066.0,884.0,1033.0
252,HL,P,6,6,1.0,0.06944444444444445,0.9305555555555556,0.5,1486.6666666666667,1479.5,1450.0,1458.5
252,LH,A,6,6,1.0,0.06944444444444445,0.9305555555555556,0.6666666666666666,1262.1666666666667,1226.5,644.5,558.5
252,LH,P,6,6,1.0,0.06944444444444445,0.9305555555555556,0.6666666666666666,1471.1666666666667,1423.0,1554.6666666666667,1254.5
252,LL,A,6,6,1.0,0.06944444444444445,0.9305555555555556,0.6666666666666666,1549.3333333333333,1598.5,837.6666666666666,770.0
252,LL,P,4,6,0.6666666666666666,0.06944444444444445,0.5972222222222222,1.0,1566.75,1447.0,1843.5,1483.5
253,HH,A,6,6,1.0,0.10416666666666667,0.8958333333333334,0.6666666666666666,2165.6666666666665,2045.5,1346.0,633.0
253,HH,P,6,6,1.0,0.10416666666666667,0.8958333333333334,0.6666666666666666,1579.3333333333333,1363.5,876.5,696.0
253,HL,A,6,6,1.0,0.10416666666666667,0.8958333333333334,0.8333333333333334,1229.3333333333333,1200.5,501.0,332.0
253,HL,P,6,6,1.0,0.10416666666666667,0.8958333333333334,0.5,1450.8333333333333,1314.0,703.8333333333334,388.0
253,LH,A,6,6,1.0,0.10416666666666667,0.8958333333333334,0.5,2170.8333333333335,2266.5,1004.1666666666666,436.0
253,LH,P,6,6,1.0,0.10416666666666667,0.8958333333333334,0.6666666666666666,1365.8333333333333,1196.0,852.5,225.0
253,LL,A,6,6,1.0,0.10416666666666667,0.8958333333333334,0.6666666666666666,1578.1666666666667,1648.0,279.0,304.0
253,LL,P,6,6,1.0,0.10416666666666667,0.8958333333333334,0.16666666666666666,1704.3333333333333,1313.5,648.6666666666666,309.0
254,HH,A,2,6,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.5,2145.5,2145.5,185.0,185.0
254,HH,P,5,6,0.8333333333333334,0.2222222222222222,0.6111111111111112,0.6,1882.0,1786.0,356.6,297.0
254,HL,A,6,6,1.0,0.2222222222222222,0.7777777777777778,0.8333333333333334,2098.6666666666665,2078.5,358.1666666666667,275.5
254,HL,P,5,6,0.8333333333333334,0.2222222222222222,0.6111111111111112,0.8,2388.4,2369.0,628.0,584.0
254,LH,A,4,6,0.6666666666666666,0.2222222222222222,0.4444444444444444,1.0,2129.0,2155.0,288.75,318.5
254,LH,P,5,6,0.8333333333333334,0.2222222222222222,0.6111111111111112,0.8,2085.6,2129.0,1457.6,578.0
254,LL,A,5,6,0.8333333333333334,0.2222222222222222,0.6111111111111112,1.0,2048.4,1912.0,305.8,184.0
254,LL,P,5,6,0.8333333333333334,0.2222222222222222,0.6111111111111112,0.6,2355.0,1782.0,345.2,456.0
256,HH,A,6,6,1.0,0.1388888888888889,0.8611111111111112,0.8333333333333334,1693.0,1557.5,361.1666666666667,310.0
256,HH,P,6,6,1.0,0.1388888888888889,0.8611111111111112,0.8333333333333334,2259.6666666666665,1972.5,987.6666666666666,460.0
256,HL,A,6,6,1.0,0.1388888888888889,0.8611111111111112,0.8333333333333334,2364.0,2276.5,1248.3333333333333,726.5
256,HL,P,6,6,1.0,0.1388888888888889,0.8611111111111112,0.6666666666666666,2813.1666666666665,3211.0,1437.0,934.0
256,LH,A,6,6,1.0,0.1388888888888889,0.8611111111111112,0.6666666666666666,2225.6666666666665,2273.5,1014.3333333333334,464.5
256,LH,P,6,6,1.0,0.1388888888888889,0.8611111111111112,0.8333333333333334,2006.1666666666667,1795.5,392.6666666666667,404.5
256,LL,A,5,6,0.8333333333333334,0.1388888888888889,0.6944444444444444,0.6,2447.6,2047.0,1272.8,1005.0
256,LL,P,4,6,0.6666666666666666,0.1388888888888889,0.5277777777777777,0.75,2142.0,1943.5,1334.0,499.0
257,HH,A,3,6,0.5,0.09722222222222222,0.4027777777777778,0.6666666666666666,1844.0,1977.0,93.66666666666667,71.0
257,HH,P,3,6,0.5,0.09722222222222222,0.4027777777777778,0.6666666666666666,2117.0,1986.0,592.0,441.0
257,HL,A,3,6,0.5,0.09722222222222222,0.4027777777777778,0.6666666666666666,1688.3333333333333,1497.0,162.33333333333334,161.0
257,HL,P,2,6,0.3333333333333333,0.09722222222222222,0.2361111111111111,0.5,1950.5,1950.5,619.0,619.0
257,LH,A,4,6,0.6666666666666666,0.09722222222222222,0.5694444444444444,0.75,1898.75,1563.5,92.0,97.0
257,LH,P,2,6,0.3333333333333333,0.09722222222222222,0.2361111111111111,0.5,1915.0,1915.0,137.5,137.5
257,LL,A,6,6,1.0,0.09722222222222222,0.9027777777777778,0.5,2255.6666666666665,2061.0,164.83333333333334,139.5
257,LL,P,4,6,0.6666666666666666,0.09722222222222222,0.5694444444444444,0.75,2615.75,2691.5,113.0,102.0
