participant_ID,word_type,voice,hits,misses,n_repeats,hit_rate,fa_rate,corr_memorability
361,LH,Active,6,0,6,1.0,0.0764,0.9236
361,HL,Active,6,0,6,1.0,0.0764,0.9236
361,HH,Active,6,0,6,1.0,0.0764,0.9236
362,HH,Passive,5,1,6,0.8333,0.0833,0.75
362,HH,Active,4,2,6,0.6667,0.0833,0.5833
362,LH,Active,5,1,6,0.8333,0.0833,0.75
362,LH,Passive,3,3,6,0.5,0.0833,0.4167
362,LL,Active,4,2,6,0.6667,0.0833,0.5833
362,LL,Passive,4,2,6,0.6667,0.0833,0.5833
362,HL,Active,3,3,6,0.5,0.0833,0.4167
362,HL,Passive,6,0,6,1.0,0.0833,0.9167
363,LH,Active,5,1,6,0.8333,0.1319,0.7014
363,LL,Passive,5,1,6,0.8333,0.1319,0.7014
363,LH,Passive,4,2,6,0.6667,0.1319,0.5347
363,HH,Passive,6,0,6,1.0,0.1319,0.8681
363,LL,Active,4,2,6,0.6667,0.1319,0.5347
363,HL,Passive,6,0,6,1.0,0.1319,0.8681
363,HH,Active,5,1,6,0.8333,0.1319,0.7014
363,HL,Active,6,0,6,1.0,0.1319,0.8681
364,HH,Passive,4,2,6,0.6667,0.0347,0.6319
364,HH,Active,6,0,6,1.0,0.0347,0.9653
364,LH,Active,5,1,6,0.8333,0.0347,0.7986
364,LH,Passive,5,1,6,0.8333,0.0347,0.7986
364,LL,Active,4,2,6,0.6667,0.0347,0.6319
364,HL,Passive,5,1,6,0.8333,0.0347,0.7986
364,LL,Passive,2,4,6,0.3333,0.0347,0.2986
364,HL,Active,5,1,6,0.8333,0.0347,0.7986
366,HH,Passive,6,0,6,1.0,0.1806,0.8194
366,LH,Active,5,1,6,0.8333,0.1806,0.6528
366,HH,Active,6,0,6,1.0,0.1806,0.8194
366,LL,Passive,6,0,6,1.0,0.1806,0.8194
366,LL,Active,6,0,6,1.0,0.1806,0.8194
366,HL,Passive,5,1,6,0.8333,0.1806,0.6528
366,LH,Passive,6,0,6,1.0,0.1806,0.8194
366,HL,Active,6,0,6,1.0,0.1806,0.8194
367,HH,Active,4,0,4,1.0,0.3229,0.6771
367,LL,Active,4,0,4,1.0,0.3229,0.6771
367,LL,Passive,4,0,4,1.0,0.3229,0.6771
367,LH,Passive,4,0,4,1.0,0.3229,0.6771
367,HL,Active,4,0,4,1.0,0.3229,0.6771
367,HH,Passive,4,0,4,1.0,0.3229,0.6771
367,HL,Passive,4,0,4,1.0,0.3229,0.6771
367,LH,Active,4,0,4,1.0,0.3229,0.6771
368,LH,Active,6,0,6,1.0,0.0417,0.9583
368,LL,Passive,3,3,6,0.5,0.0417,0.4583
368,HH,Active,6,0,6,1.0,0.0417,0.9583
368,HL,Active,4,2,6,0.6667,0.0417,0.625
368,LL,Active,5,1,6,0.8333,0.0417,0.7917
368,HL,Passive,4,2,6,0.6667,0.0417,0.625
368,HH,Passive,5,1,6,0.8333,0.0417,0.7917
368,LH,Passive,5,1,6,0.8333,0.0417,0.7917
369,LL,Active,4,2,6,0.6667,0.0972,0.5694
369,HH,Active,4,2,6,0.6667,0.0972,0.5694
369,LH,Active,4,2,6,0.6667,0.0972,0.5694
369,LL,Passive,5,1,6,0.8333,0.0972,0.7361
369,HH,Passive,4,2,6,0.6667,0.0972,0.5694
369,LH,Passive,4,2,6,0.6667,0.0972,0.5694
369,HL,Passive,5,1,6,0.8333,0.0972,0.7361
369,HL,Active,4,2,6,0.6667,0.0972,0.5694
370,LL,Active,2,4,6,0.3333,0.1458,0.1875
370,HL,Passive,4,2,6,0.6667,0.1458,0.5208
370,LH,Active,6,0,6,1.0,0.1458,0.8542
370,HL,Active,4,2,6,0.6667,0.1458,0.5208
370,HH,Passive,6,0,6,1.0,0.1458,0.8542
370,HH,Active,6,0,6,1.0,0.1458,0.8542
370,LL,Passive,4,2,6,0.6667,0.1458,0.5208
370,LH,Passive,5,1,6,0.8333,0.1458,0.6875
371,LH,Passive,0,6,6,0.0,0.0694,-0.0694
371,LL,Active,3,3,6,0.5,0.0694,0.4306
371,HH,Active,1,5,6,0.1667,0.0694,0.0972
371,LL,Passive,3,3,6,0.5,0.0694,0.4306
371,HL,Active,3,3,6,0.5,0.0694,0.4306
371,HL,Passive,4,2,6,0.6667,0.0694,0.5972
371,LH,Active,2,4,6,0.3333,0.0694,0.2639
